"filename", "language", "Markdown", "JavaScript", "JSON", "Less", "JavaScript React", "CSS", "JSON with Comments", "Python", "XML", "comment", "blank", "total"
"d:\工作\软工实验\sep\SE-Project-Front\src\components\HeaderDropdown\index.less", "Less", 0, 0, 0, -14, 0, 0, 0, 0, 0, 0, -3, -17
"d:\工作\软工实验\sep\SE-Project-Front\src\components\HeaderSearch\index.jsx", "JavaScript React", 0, 0, 0, 0, -80, 0, 0, 0, 0, 0, -4, -84
"d:\工作\软工实验\sep\SE-Project-Front\src\components\HeaderSearch\index.less", "Less", 0, 0, 0, -23, 0, 0, 0, 0, 0, 0, -3, -26
"d:\工作\软工实验\sep\SE-Project-Front\src\components\JSONSchemaForm\Fields\ArrayField\index.js", "JavaScript", 0, -31, 0, 0, 0, 0, 0, 0, 0, -10, -1, -42
"d:\工作\软工实验\sep\SE-Project-Front\src\components\JSONSchemaForm\Fields\ObjectField\index.js", "JavaScript", 0, -37, 0, 0, 0, 0, 0, 0, 0, -9, -2, -48
"d:\工作\软工实验\sep\SE-Project-Front\src\components\JSONSchemaForm\Fields\SchemaField\index.js", "JavaScript", 0, -39, 0, 0, 0, 0, 0, 0, 0, -8, -2, -49
"d:\工作\软工实验\sep\SE-Project-Front\src\components\JSONSchemaForm\Fields\StringField\index.js", "JavaScript", 0, -29, 0, 0, 0, 0, 0, 0, 0, -10, -2, -41
"d:\工作\软工实验\sep\SE-Project-Front\src\components\JSONSchemaForm\Fields\index.js", "JavaScript", 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, -1, -6
"d:\工作\软工实验\sep\SE-Project-Front\src\components\JSONSchemaForm\Widgets\ArrayTable\index.css", "CSS", 0, 0, 0, 0, 0, -41, 0, 0, 0, 0, -2, -43
"d:\工作\软工实验\sep\SE-Project-Front\src\components\JSONSchemaForm\Widgets\ArrayTable\index.js", "JavaScript", 0, -141, 0, 0, 0, 0, 0, 0, 0, -36, -2, -179
"d:\工作\软工实验\sep\SE-Project-Front\src\components\JSONSchemaForm\Widgets\CheckboxWidget\index.js", "JavaScript", 0, -45, 0, 0, 0, 0, 0, 0, 0, -5, -1, -51
"d:\工作\软工实验\sep\SE-Project-Front\src\components\JSONSchemaForm\Widgets\RadioWidget\index.js", "JavaScript", 0, -38, 0, 0, 0, 0, 0, 0, 0, -6, -1, -45
"d:\工作\软工实验\sep\SE-Project-Front\src\components\JSONSchemaForm\Widgets\StringInputWidget\index.css", "CSS", 0, 0, 0, 0, 0, -11, 0, 0, 0, 0, -3, -14
