"filename", "language", "JavaScript", "CSS", "JavaScript React", "Less", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\TestAssign.js", "JavaScript", 106, 0, 0, 0, 0, 0, 0, 3, 11, 120
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\TestList.js", "JavaScript", 177, 0, 0, 0, 0, 0, 0, 3, 5, 185
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\TestReport.js", "JavaScript", 783, 0, 0, 0, 0, 0, 0, 4, 13, 800
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\TestVerify.js", "JavaScript", 310, 0, 0, 0, 0, 0, 0, 9, 5, 324
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\UserInfo.js", "JavaScript", 371, 0, 0, 0, 0, 0, 0, 2, 27, 400
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Welcome.jsx", "JavaScript React", 0, 0, 61, 0, 0, 0, 0, 0, 3, 64
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Welcome.less", "Less", 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\Center.less", "Less", 0, 0, 0, 74, 0, 0, 0, 0, 13, 87
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\_mock.js", "JavaScript", 222, 0, 0, 0, 0, 0, 0, 2, 8, 232
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\components\Applications\index.jsx", "JavaScript React", 0, 0, 123, 0, 0, 0, 0, 1, 7, 131
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\components\Applications\index.less", "Less", 0, 0, 0, 48, 0, 0, 0, 1, 3, 52
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\components\ArticleListContent\index.jsx", "JavaScript React", 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\components\ArticleListContent\index.less", "Less", 0, 0, 0, 36, 0, 0, 0, 0, 3, 39
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\components\Articles\index.jsx", "JavaScript React", 0, 0, 55, 0, 0, 0, 0, 0, 4, 59
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\components\Articles\index.less", "Less", 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\components\AvatarList\index.jsx", "JavaScript React", 0, 0, 55, 0, 0, 0, 0, 0, 7, 62
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\components\AvatarList\index.less", "Less", 0, 0, 0, 44, 0, 0, 0, 0, 7, 51
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\components\Projects\index.jsx", "JavaScript React", 0, 0, 52, 0, 0, 0, 0, 1, 3, 56
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\components\Projects\index.less", "Less", 0, 0, 0, 50, 0, 0, 0, 0, 5, 55
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\index.jsx", "JavaScript React", 0, 0, 58, 0, 0, 0, 0, 198, 21, 277
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\service.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\_mock.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 2, 6, 79
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\components\BaseView.less", "Less", 0, 0, 0, 59, 0, 0, 0, 0, 7, 66
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\components\PhoneView.jsx", "JavaScript React", 0, 0, 33, 0, 0, 0, 0, 0, 5, 38
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\components\admin.jsx", "JavaScript React", 0, 0, 185, 0, 0, 0, 0, 1, 18, 204
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\components\base.jsx", "JavaScript React", 0, 0, 148, 0, 0, 0, 0, 162, 13, 323
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\components\binding.jsx", "JavaScript React", 0, 0, 43, 0, 0, 0, 0, 0, 4, 47
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\components\notification.jsx", "JavaScript React", 0, 0, 39, 0, 0, 0, 0, 0, 4, 43
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\components\security.jsx", "JavaScript React", 0, 0, 56, 0, 0, 0, 0, 0, 4, 60
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\geographic\city.json", "JSON", 0, 0, 0, 0, 0, 1784, 0, 0, 1, 1785
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\geographic\province.json", "JSON", 0, 0, 0, 0, 0, 138, 0, 0, 1, 139
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\index.jsx", "JavaScript React", 0, 0, 97, 0, 0, 0, 0, 9, 19, 125
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\service.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\style.less", "Less", 0, 0, 0, 88, 0, 0, 0, 2, 4, 94
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\_mock.js", "JavaScript", 195, 0, 0, 0, 0, 0, 0, 1, 15, 211
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\Bar\index.jsx", "JavaScript React", 0, 0, 114, 0, 0, 0, 0, 0, 11, 125
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\ChartCard\index.jsx", "JavaScript React", 0, 0, 91, 0, 0, 0, 0, 0, 12, 103
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\ChartCard\index.less", "Less", 0, 0, 0, 74, 0, 0, 0, 0, 2, 76
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\Field\index.jsx", "JavaScript React", 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\Field\index.less", "Less", 0, 0, 0, 16, 0, 0, 0, 0, 2, 18
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\Gauge\index.jsx", "JavaScript React", 0, 0, 161, 0, 0, 0, 0, 0, 11, 172
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\MiniArea\index.jsx", "JavaScript React", 0, 0, 110, 0, 0, 0, 0, 0, 3, 113
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\MiniBar\index.jsx", "JavaScript React", 0, 0, 40, 0, 0, 0, 0, 0, 4, 44
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\MiniProgress\index.jsx", "JavaScript React", 0, 0, 43, 0, 0, 0, 0, 0, 3, 46
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\Pie\index.jsx", "JavaScript React", 0, 0, 241, 0, 0, 0, 0, 4, 26, 271
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\TagCloud\index.jsx", "JavaScript React", 0, 0, 165, 0, 0, 0, 0, 5, 20, 190
